county,long,lat
 The Lagoons,55.356095,25.197421
 Motor City,55.23772276,25.04357595
 Dubai Marina,55.1367272,25.0769294
 Jumeirah Village Circle (JVC),55.20926261,25.059957
 Business Bay,55.2729089,25.1830272
 Dubai Hills Estate,55.22623581,25.1493721
 Serena,55.284783,25.036981
 The Springs,55.178222,25.052847
 Bluewaters Island,55.123341,25.079199
 Jumeirah Golf Estate,55.199626,25.020575
 The Meadows,55.166872,25.063832
 Palm Jumeirah,55.13205319,25.11865725
 The Views,55.170034,25.091393
 Jumeirah Lake Towers (JLT),55.13805962,25.0628685
 Arabian Ranches,55.26583861,25.04933005
 Dubai Sports City,55.21735371,25.0368891
 Emirates Hills,55.17340374,25.06914525
 Arabian Ranches 2,55.27192629,25.03483995
 Mohammad Bin Rashid City,55.3510012,25.2950091
 Al Warsan,55.4252846,25.1603813
 DAMAC Hills (Akoya by DAMAC),55.255787,25.023726
 Green Community,55.160834,25.0053336
 Dubai Industrial Park,55.0795043,24.84738305
 Jumeirah Village Triangle (JVT),55.187226,25.04572
 Dubai Festival City,55.3492808,25.2222474
 Dubai Silicon Oasis,55.38543296,25.1221942
 Umm Suqeim,55.2087708,25.1505288
 Mudon,55.259472,25.021225
 Remraam,55.2532844,25.0058583
 Dubai Residence Complex,55.37974832,25.093545
 Wasl Gate,55.11067042,25.02481685
 Jumeirah Islands,55.15519926,25.05781185
 Downtown Jebel Ali,55.04951765,24.9405353
 Jumeirah,55.2433485,25.2019117
 Town Square,55.289744,25.011222
 Old Town,55.27728,25.190731
 Al Furjan,55.14165197,25.0277513
 Dubai South,55.1459674,24.8620563
 Dubailand,55.383054,25.0951798
 Reem,55.27568906,25.0315993
 The Greens,55.171359,25.092471
 Arjan,55.23959082,25.06245425
 Dubai World Central,55.16390795,24.8926515
 Al Barari,55.3071736,25.0986597
 Jumeirah Beach Residence (JBR),55.1312246,25.0749249
 Discovery Gardens,55.143176,25.041156
 The Lakes,55.168555,25.079943
 International City,55.4077305,25.1660413
 The Hills,55.158255,25.078854
 Liwan,55.368637,25.110076
 Mina Rashid,55.281433,25.270743
 DIFC,55.283093,25.2130879
 Culture Village,55.33820158,25.2260711
 Barsha Heights (Tecom),55.17082812,25.10162275
 Arabian Ranches 3,55.32005519,25.06377575
 Akoya Oxygen,55.4034216,24.9835424
 Al Quoz,55.24859929,25.1631055
 Mirdif,55.42349901,25.22133505
 Jumeirah Heights,55.20084726,25.0203238
 Jumeirah Park,55.15447249,25.0474655
 Dubai Production City (IMPZ),55.189513,25.033544
 The Villa,55.358624,25.086196
 Dubai Science Park,55.240849,25.074843
 Bur Dubai,55.2963265,25.2623727
 Meydan City,55.296338,25.164631
 Nad Al Sheba,55.29443872,25.1135114
 Dubai Studio City,55.24108102,25.03545015
 Pearl Jumeirah,55.25895972,25.244474
 Dubai Investment Park (DIP),55.173983,24.98617
 Dubai Harbour,55.35520383,25.19217545
 Al Sufouh,55.16513225,25.1081151
 Dragon City,55.419028,25.173644
 Jebel Ali,55.1238225,25.0287816
 Al Barsha,55.20329172,25.0994791
 The World Islands,55.17275265,25.2479897
 World Trade Centre,55.289047,25.226664
